s0;s1;s2;s3;s4
4090;3919;3690;3787;4138;
4090;3919;3690;3787;4138;
4261;4122;3883;3965;4323;
4261;4122;3883;3965;4323;
4266;4137;3823;3980;4315;
4266;4137;3823;3980;4315;
4266;4137;3823;3980;4315;
4118;3957;3661;3831;4165;
4118;3957;3661;3831;4165;
4118;3957;3661;3831;4165;
4078;3900;3656;3780;4118;
4078;3900;3656;3780;4118;
4250;4116;3874;3957;4323;
4250;4116;3874;3957;4323;
4250;4116;3874;3957;4323;
4272;4148;3837;3989;4333;
4272;4148;3837;3989;4333;
4123;3972;3668;3838;4175;
4123;3972;3668;3838;4175;
4123;3972;3668;3838;4175;
4069;3891;3651;3767;4111;
4069;3891;3651;3767;4111;
4231;4099;3858;3934;4288;
4231;4099;3858;3934;4288;
4231;4099;3858;3934;4288;
4283;4153;3855;3994;4347;
4283;4153;3855;3994;4347;
4283;4153;3855;3994;4347;
4143;3989;3677;3856;4187;
4143;3989;3677;3856;4187;
4143;3989;3677;3856;4187;
4070;3894;3641;3767;4113;
4070;3894;3641;3767;4113;
4218;4066;3846;3917;4274;
4218;4066;3846;3917;4274;
4218;4066;3846;3917;4274;
4290;4164;3874;3999;4349;
4290;4164;3874;3999;4349;
4290;4164;3874;3999;4349;
4160;4013;3697;3872;4207;
4160;4013;3697;3872;4207;
4160;4013;3697;3872;4207;
4074;3896;3646;3774;4118;
4074;3896;3646;3774;4118;
4195;4039;3813;3895;4248;
4195;4039;3813;3895;4248;
4195;4039;3813;3895;4248;
4290;4173;3886;4014;4353;
4290;4173;3886;4014;4353;
4290;4173;3886;4014;4353;
4180;4034;3711;3891;4227;
4180;4034;3711;3891;4227;
4083;3908;3646;3782;4121;
4083;3908;3646;3782;4121;
4083;3908;3646;3782;4121;
4172;4009;3793;3873;4225;
4172;4009;3793;3873;4225;
4172;4009;3793;3873;4225;
4294;4170;3893;4009;4360;
4294;4170;3893;4009;4360;
4202;4055;3736;3918;4248;
4202;4055;3736;3918;4248;
4202;4055;3736;3918;4248;
4090;3919;3652;3797;4135;
4090;3919;3652;3797;4135;
4090;3919;3652;3797;4135;
4148;3988;3761;3848;4194;
4148;3988;3761;3848;4194;
4287;4164;3897;4000;4351;
4287;4164;3897;4000;4351;
4287;4164;3897;4000;4351;
4225;4081;3757;3937;4272;
4225;4081;3757;3937;4272;
4225;4081;3757;3937;4272;
4095;3928;3650;3801;4137;
4095;3928;3650;3801;4137;
4095;3928;3650;3801;4137;
4125;3959;3729;3834;4174;
4125;3959;3729;3834;4174;
4284;4158;3897;4000;4350;
4284;4158;3897;4000;4350;
4284;4158;3897;4000;4350;
4240;4102;3782;3958;4290;
4240;4102;3782;3958;4290;
4240;4102;3782;3958;4290;
4104;3934;3648;3808;4149;
4104;3934;3648;3808;4149;
4102;3934;3706;3806;4149;
4102;3934;3706;3806;4149;
4268;4140;3895;3984;4335;
4268;4140;3895;3984;4335;
4268;4140;3895;3984;4335;
4256;4120;3809;3966;4313;
4256;4120;3809;3966;4313;
4256;4120;3809;3966;4313;
4120;3947;3656;3814;4167;
4120;3947;3656;3814;4167;
4091;3909;3682;3788;4135;
4091;3909;3682;3788;4135;
4091;3909;3682;3788;4135;
4262;4131;3891;3974;4326;
4264;4138;3829;3984;4328;
4264;4138;3829;3984;4328;
4264;4138;3829;3984;4328;
4120;3963;3657;3833;4165;
4120;3963;3657;3833;4165;
4120;3963;3657;3833;4165;
4069;3894;3659;3767;4119;
4069;3894;3659;3767;4119;
4247;4107;3874;3951;4308;
4247;4107;3874;3951;4308;
4247;4107;3874;3951;4308;
4278;4157;3848;3993;4345;
4278;4157;3848;3993;4345;
4278;4157;3848;3993;4345;
4137;3968;3670;3848;4177;
4137;3968;3670;3848;4177;
4137;3968;3670;3848;4177;
4068;3887;3652;3769;4111;
4068;3887;3652;3769;4111;
4227;4088;3854;3930;4283;
4227;4088;3854;3930;4283;
4227;4088;3854;3930;4283;
4279;4159;3858;3996;4341;
4279;4159;3858;3996;4341;
4279;4159;3858;3996;4341;
4150;3991;3679;3853;4195;
4150;3991;3679;3853;4195;
4150;3991;3679;3853;4195;
4065;3889;3642;3766;4109;
4065;3889;3642;3766;4109;
4213;4066;3838;3915;4269;
4213;4066;3838;3915;4269;
4213;4066;3838;3915;4269;
4287;4171;3871;4003;4353;
4287;4171;3871;4003;4353;
4287;4171;3871;4003;4353;
4168;4015;3692;3876;4212;
4168;4015;3692;3876;4212;
4073;3903;3651;3781;4118;
4073;3903;3651;3781;4118;
4073;3903;3651;3781;4118;
4203;4043;3819;3902;4254;
4203;4043;3819;3902;4254;
4203;4043;3819;3902;4254;
4297;4168;3883;4001;4355;
4297;4168;3883;4001;4355;
4179;4038;3711;3897;4232;
4179;4038;3711;3897;4232;
4179;4038;3711;3897;4232;
4080;3909;3651;3781;4122;
4080;3909;3651;3781;4122;
4080;3909;3651;3781;4122;
4171;4011;3792;3870;4223;
4171;4011;3792;3870;4223;
4294;4174;3885;3999;4356;
4294;4174;3885;3999;4356;
4294;4174;3885;3999;4356;
4198;4058;3730;3911;4246;
4198;4058;3730;3911;4246;
4198;4058;3730;3911;4246;
4084;3914;3655;3789;4126;
4084;3914;3655;3789;4126;
4150;3989;3773;3852;4199;
4150;3989;3773;3852;4199;
4150;3989;3773;3852;4199;
4293;4168;3898;4003;4358;
4293;4168;3898;4003;4358;
4293;4168;3898;4003;4358;
4216;4075;3756;3936;4266;
4216;4075;3756;3936;4266;
4216;4075;3756;3936;4266;
4089;3925;3655;3798;4139;
4089;3925;3655;3798;4139;
4132;3961;3745;3832;4186;
4132;3961;3745;3832;4186;
4132;3961;3745;3832;4186;
4292;4170;3907;4005;4355;
4292;4170;3907;4005;4355;
4292;4170;3907;4005;4355;
4237;4099;3781;3949;4283;
4237;4099;3781;3949;4283;
4106;3928;3653;3812;4147;
4106;3928;3653;3812;4147;
4106;3928;3653;3812;4147;
4112;3943;3717;3816;4159;
4112;3943;3717;3816;4159;
4112;3943;3717;3816;4159;
4277;4148;3891;3985;4344;
4277;4148;3891;3985;4344;
4253;4121;3797;3962;4308;
4253;4121;3797;3962;4308;
4253;4121;3797;3962;4308;
4112;3944;3652;3814;4151;
4112;3944;3652;3814;4151;
4112;3944;3652;3814;4151;
4096;3915;3694;3795;4144;
4096;3915;3694;3795;4144;
4096;3915;3694;3795;4144;
4269;4142;3891;3975;4328;
4269;4142;3891;3975;4328;
4258;4127;3816;3973;4309;
4258;4127;3816;3973;4309;
4258;4127;3816;3973;4309;
4118;3955;3656;3825;4159;
4118;3955;3656;3825;4159;
4118;3955;3656;3825;4159;
4078;3899;3668;3778;4121;
4078;3899;3668;3778;4121;
4258;4118;3876;3955;4319;
4258;4118;3876;3955;4319;
4258;4118;3876;3955;4319;
4276;4151;3839;3989;4327;
4276;4151;3839;3989;4327;
4276;4151;3839;3989;4327;
4123;3961;3662;3834;4166;
4123;3961;3662;3834;4166;
4068;3888;3649;3767;4115;
4068;3888;3649;3767;4115;
4068;3888;3649;3767;4115;
4240;4096;3859;3944;4291;
4240;4096;3859;3944;4291;
4240;4096;3859;3944;4291;
4273;4153;3851;3990;4338;
