s0;s1;s2;s3;s4
0;1394;4064;2015;0;
0;1394;4064;2015;0;
0;1394;4064;2015;0;
0;1171;3920;1949;0;
0;1171;3920;1949;0;
0;1026;3809;1911;0;
0;1026;3809;1911;0;
0;1026;3809;1911;0;
0;1233;3939;1975;0;
0;1233;3939;1975;0;
0;1233;3939;1975;0;
0;1402;4064;2018;0;
0;1402;4064;2018;0;
0;1184;3929;1952;0;
0;1184;3929;1952;0;
0;1184;3929;1952;0;
0;1028;3816;1912;0;
0;1028;3816;1912;0;
0;1028;3816;1912;0;
0;1220;3913;1974;0;
0;1220;3913;1974;0;
0;1220;3913;1974;0;
0;1400;4068;2020;0;
0;1400;4068;2020;0;
0;1212;3943;1953;0;
0;1212;3943;1953;0;
0;1212;3943;1953;0;
0;1033;3826;1912;0;
0;1033;3826;1912;0;
0;1033;3826;1912;0;
0;1189;3900;1964;0;
0;1189;3900;1964;0;
0;1189;3900;1964;0;
0;1410;4072;2020;0;
0;1410;4072;2020;0;
0;1241;3959;1968;0;
0;1241;3959;1968;0;
0;1241;3959;1968;0;
0;1036;3826;1911;0;
0;1036;3826;1911;0;
0;1036;3826;1911;0;
0;1165;3882;1960;0;
0;1165;3882;1960;0;
0;1399;4058;2023;0;
0;1399;4058;2023;0;
0;1399;4058;2023;0;
0;1258;3967;1967;0;
0;1258;3967;1967;0;
0;1258;3967;1967;0;
0;1038;3834;1908;0;
0;1038;3834;1908;0;
0;1139;3871;1951;0;
0;1139;3871;1951;0;
0;1139;3871;1951;0;
0;1396;4056;2020;0;
0;1396;4056;2020;0;
0;1396;4056;2020;0;
0;1270;3978;1979;0;
0;1270;3978;1979;0;
0;1038;3835;1908;0;
0;1038;3835;1908;0;
0;1038;3835;1908;0;
0;1108;3864;1941;0;
0;1108;3864;1941;0;
0;1108;3864;1941;0;
0;1399;4048;2024;0;
0;1399;4048;2024;0;
0;1280;3994;1980;0;
0;1280;3994;1980;0;
0;1280;3994;1980;0;
0;1046;3840;1912;0;
0;1046;3840;1912;0;
0;1046;3840;1912;0;
0;1080;3846;1934;0;
0;1080;3846;1934;0;
0;1392;4040;2018;0;
0;1392;4040;2018;0;
0;1298;4006;1984;0;
0;1063;3836;1932;0;
0;1063;3836;1932;0;
0;1374;4033;2020;0;
0;1374;4033;2020;0;
0;1374;4033;2020;0;
0;1315;4008;1995;0;
0;1315;4008;1995;0;
0;1315;4008;1995;0;
0;1056;3847;1918;0;
0;1056;3847;1918;0;
0;1042;3808;1925;0;
0;1042;3808;1925;0;
0;1042;3808;1925;0;
0;1366;4027;2010;0;
0;1366;4027;2010;0;
0;1366;4027;2010;0;
0;1328;4020;1986;0;
0;1328;4020;1986;0;
0;1061;3847;1918;0;
0;1061;3847;1918;0;
0;1061;3847;1918;0;
0;1033;3804;1913;0;
0;1033;3804;1913;0;
0;1033;3804;1913;0;
