s1,s2,s3,s4,s5
3891,3519,2669,3348,4388
3836,3531,2644,3299,4384
3836,3531,2644,3299,4384
3836,3531,2644,3299,4384
3771,3557,2634,3226,4369
3771,3557,2634,3226,4369
3771,3557,2634,3226,4369
3780,3488,2637,3294,4388
3780,3488,2637,3294,4388
3780,3488,2637,3294,4388
3857,3377,2699,3493,4422
3857,3377,2699,3493,4422
3920,3314,2766,3589,4392
3920,3314,2766,3589,4392
3920,3314,2766,3589,4392
3979,3227,2841,3639,4309
3979,3227,2841,3639,4309
3979,3227,2841,3639,4309
3986,3148,2899,3649,4204
3986,3148,2899,3649,4204
3986,3148,2899,3649,4204
3960,3117,2915,3649,4175
3960,3117,2915,3649,4175
4025,3218,2861,3627,4230
4025,3218,2861,3627,4230
4025,3218,2861,3627,4230
4082,3388,2766,3540,4288
4082,3388,2766,3540,4288
4082,3388,2766,3540,4288
4057,3522,2698,3410,4321
4057,3522,2698,3410,4321
4057,3522,2698,3410,4321
3995,3599,2680,3323,4353
3995,3599,2680,3323,4353
3927,3683,2677,3221,4366
3927,3683,2677,3221,4366
3927,3683,2677,3221,4366
3904,3698,2680,3196,4367
3904,3698,2680,3196,4367
3904,3698,2680,3196,4367
3923,3595,2668,3307,4382
3923,3595,2668,3307,4382
3923,3595,2668,3307,4382
3943,3410,2701,3471,4374
3943,3410,2701,3471,4374
3943,3410,2701,3471,4374
3892,3234,2779,3591,4333
3892,3234,2779,3591,4333
3817,3071,2880,3636,4254
3817,3071,2880,3636,4254
3817,3071,2880,3636,4254
3788,3022,2894,3650,4210
3788,3022,2894,3650,4210
3788,3022,2894,3650,4210
3896,3165,2829,3625,4282
3896,3165,2829,3625,4282
3896,3165,2829,3625,4282
3985,3366,2755,3546,4351
3985,3366,2755,3546,4351
4003,3482,2699,3434,4369
4003,3482,2699,3434,4369
4003,3482,2699,3434,4369
4005,3623,2684,3323,4373
4005,3623,2684,3323,4373
4005,3623,2684,3323,4373
4016,3646,2690,3311,4376
4016,3646,2690,3311,4376
4016,3646,2690,3311,4376
4018,3652,2691,3309,4380
4018,3652,2691,3309,4380
4027,3652,2688,3315,4376
4027,3652,2688,3315,4376
4027,3652,2688,3315,4376
4116,3684,2724,3373,4399
4116,3684,2724,3373,4399
4116,3684,2724,3373,4399
4231,3756,2784,3483,4442
4231,3756,2784,3483,4442
4231,3756,2784,3483,4442
4233,3746,2788,3493,4449
4233,3746,2788,3493,4449
4233,3746,2788,3493,4449
4138,3665,2738,3431,4421
4138,3665,2738,3431,4421
3958,3521,2684,3378,4371
3958,3521,2684,3378,4371
3958,3521,2684,3378,4371
3902,3478,2649,3325,4323
3902,3478,2649,3325,4323
3951,3546,2664,3327,4348
3951,3546,2664,3327,4348
4020,3652,2683,3291,4356
4020,3652,2683,3291,4356
4020,3652,2683,3291,4356
4061,3851,2716,3191,4346
4061,3851,2716,3191,4346
4061,3851,2716,3191,4346
4043,3862,2725,3167,4335
4043,3862,2725,3167,4335
4043,3862,2725,3167,4335
4012,3712,2690,3251,4356
4012,3712,2690,3251,4356
3998,3517,2694,3407,4374
3998,3517,2694,3407,4374
3998,3517,2694,3407,4374
3947,3317,2763,3572,4358
3947,3317,2763,3572,4358
3947,3317,2763,3572,4358
3844,3079,2875,3649,4261
3844,3079,2875,3649,4261
3844,3079,2875,3649,4261
3875,3134,2850,3640,4278
3875,3134,2850,3640,4278
3946,3275,2777,3569,4305
3946,3275,2777,3569,4305
3946,3275,2777,3569,4305
3980,3435,2692,3424,4333
3980,3435,2692,3424,4333
3980,3435,2692,3424,4333
3978,3566,2672,3327,4340
3978,3566,2672,3327,4340
3978,3566,2672,3327,4340
3961,3605,2663,3279,4338
3961,3605,2663,3279,4338
3939,3652,2669,3237,4353
3939,3652,2669,3237,4353
3939,3652,2669,3237,4353
3939,3621,2672,3277,4367
