s0,s1,s2,s3,s4
1305,3278,3745,2883,1976
1305,3278,3745,2883,1976
1292,3278,3750,2883,1979
1292,3278,3750,2883,1979
1292,3278,3750,2883,1979
1290,3279,3750,2887,1979
1290,3279,3750,2887,1979
1297,3278,3748,2884,1979
1297,3278,3748,2884,1979
1297,3278,3748,2884,1979
1297,3284,3750,2885,1983
1297,3284,3750,2885,1983
1297,3284,3750,2885,1983
1293,3283,3750,2884,1977
1293,3283,3750,2884,1977
1293,3283,3750,2884,1977
1290,3286,3750,2888,1983
1290,3286,3750,2888,1983
1290,3286,3750,2888,1983
1302,3280,3750,2887,1980
1294,3280,3750,2887,1978
1294,3280,3750,2887,1978
1294,3280,3750,2887,1978
1293,3283,3750,2890,1981
1293,3283,3750,2890,1981
1293,3283,3750,2890,1981
1292,3286,3750,2890,1977
1292,3286,3750,2890,1977
1291,3281,3750,2890,1977
1291,3281,3750,2890,1977
1291,3281,3750,2890,1977
1291,3281,3750,2890,1989
1291,3281,3750,2890,1989
1291,3281,3750,2890,1989
1297,3279,3749,2885,1977
1297,3279,3749,2885,1977
1297,3279,3749,2885,1977
1302,3282,3755,2891,1984
1302,3282,3755,2891,1984
1302,3282,3755,2891,1984
1297,3283,3750,2888,1982
1297,3283,3750,2888,1982
1304,3288,3751,2889,1982
1304,3288,3751,2889,1982
1304,3288,3751,2889,1982
1290,3284,3750,2890,1979
1290,3284,3750,2890,1979
1290,3284,3750,2890,1979
1304,3279,3745,2884,1980
1304,3279,3745,2884,1980
1304,3279,3745,2884,1980
1291,3280,3750,2885,1973
1291,3280,3750,2885,1973
1306,3283,3758,2887,1987
1306,3283,3758,2887,1987
1306,3283,3758,2887,1987
1298,3278,3750,2884,1977
1298,3278,3750,2884,1977
1298,3278,3750,2884,1977
1308,3280,3750,2884,1981
1308,3280,3750,2884,1981
1310,3278,3750,2882,1979
1310,3278,3750,2882,1979
1310,3278,3750,2882,1979
1296,3282,3750,2883,1971
1296,3282,3750,2883,1971
1296,3282,3750,2883,1971
1309,3283,3750,2886,1990
1309,3283,3750,2886,1990
1291,3281,3750,2889,1978
1291,3281,3750,2889,1978
1291,3281,3750,2889,1978
1297,3285,3758,2891,1981
1297,3285,3758,2891,1981
1297,3285,3758,2891,1981
1292,3279,3758,2884,1984
1292,3279,3758,2884,1984
1292,3279,3758,2884,1984
1296,3280,3750,2885,1979
1296,3280,3750,2885,1979
1291,3282,3750,2890,1979
1291,3282,3750,2890,1979
1292,3284,3756,2888,1980
1292,3284,3756,2888,1980
1298,3281,3751,2883,1976
1298,3281,3751,2883,1976
1297,3284,3750,2887,1979
1296,3283,3750,2885,1982
1291,3280,3750,2887,1984
1291,3280,3750,2887,1984
1291,3280,3750,2887,1984
1300,3283,3754,2885,1981
1300,3283,3754,2885,1981
1300,3283,3754,2885,1981
1297,3282,3750,2884,1980
1297,3282,3750,2884,1980
1321,3285,3758,2886,1980
1321,3285,3758,2886,1980
1321,3285,3758,2886,1980
1291,3284,3750,2889,1982
1291,3284,3750,2889,1982
1291,3284,3750,2889,1982
1292,3285,3750,2887,1980
1292,3285,3750,2887,1980
1292,3285,3750,2887,1980
1298,3286,3758,2889,1984
1298,3286,3758,2889,1984
1310,3283,3758,2885,1980
1310,3283,3758,2885,1980
1310,3283,3758,2885,1980
1297,3285,3750,2888,1988
1297,3285,3750,2888,1988
1297,3285,3750,2888,1988
1298,3282,3750,2888,1980
1298,3282,3750,2888,1980
1298,3282,3750,2888,1980
1291,3284,3750,2891,1984
1291,3284,3750,2891,1984
1298,3283,3750,2889,1982
1298,3283,3750,2889,1982
1298,3283,3750,2889,1982
1302,3283,3750,2888,1983
1302,3283,3750,2888,1983
1302,3283,3750,2888,1983
1290,3286,3750,2887,1979
1290,3286,3750,2887,1979
1290,3286,3750,2887,1979
1290,3282,3758,2888,1979
1290,3282,3758,2888,1979
1290,3284,3750,2890,1985
1290,3284,3750,2890,1985
1290,3284,3750,2890,1985
1295,3282,3750,2889,1979
1295,3282,3750,2889,1979
1295,3282,3750,2889,1979
1288,3286,3757,2890,1979
1288,3286,3757,2890,1979
1288,3286,3757,2890,1979
1294,3281,3750,2885,1974
1294,3281,3750,2885,1974
1294,3281,3758,2889,1970
1294,3281,3758,2889,1970
1294,3281,3758,2889,1970
1290,3282,3750,2888,1977
1290,3282,3750,2888,1977
1298,3283,3750,2887,1977
1298,3283,3750,2887,1977
1298,3283,3750,2887,1977
1291,3284,3758,2888,1976
1291,3284,3758,2888,1976
1291,3284,3758,2888,1976
1291,3286,3750,2890,1976
1291,3286,3750,2890,1976
1384,3314,3758,2868,1947
1384,3314,3758,2868,1947
1384,3314,3758,2868,1947
1436,3337,3762,2858,1923
1436,3337,3762,2858,1923
1436,3337,3762,2858,1923
1436,3338,3761,2857,1919
1436,3338,3761,2857,1919
