@relation data

@attribute Label {ECKE,FRONTAL,KANTE}
@attribute AngleLeft numeric
@attribute DistLeft numeric
@attribute AngleRight numeric
@attribute DistRight numeric

@data
ECKE,34,3.9530400335356717,10,3.164317018092234
ECKE,33,3.9530400335356717,10,3.1597988641495505
ECKE,33,3.9530400335356717,10,3.1597988641495505
ECKE,34,3.9530400335356717,10,3.141563225629028
ECKE,34,3.9530400335356717,10,3.141563225629028
ECKE,34,3.9530400335356717,10,3.141563225629028
ECKE,33,3.9530400335356717,10,3.1597988641495505
ECKE,33,3.9530400335356717,10,3.1597988641495505
ECKE,33,3.9530400335356717,10,3.1597988641495505
ECKE,34,3.9605614503824853,10,3.150713839678943
ECKE,34,3.9605614503824853,10,3.150713839678943
ECKE,34,3.9605614503824853,10,3.150713839678943
ECKE,34,3.9530400335356717,10,3.146146778986946
ECKE,34,3.9530400335356717,10,3.146146778986946
ECKE,34,3.9530400335356717,10,3.146146778986946
ECKE,34,3.9530400335356717,10,3.155264503013953
ECKE,34,3.9530400335356717,10,3.155264503013953
ECKE,33,3.9215584263876764,10,3.146146778986946
ECKE,33,3.9215584263876764,10,3.146146778986946
ECKE,33,3.9215584263876764,10,3.146146778986946
ECKE,34,3.9530400335356717,10,3.146146778986946
ECKE,34,3.9530400335356717,10,3.146146778986946
ECKE,34,3.9530400335356717,10,3.146146778986946
ECKE,33,3.9215584263876764,10,3.146146778986946
ECKE,33,3.9215584263876764,10,3.146146778986946
ECKE,33,3.9215584263876764,10,3.146146778986946
ECKE,34,3.9530400335356717,10,3.150713839678943
ECKE,34,3.9530400335356717,10,3.150713839678943
ECKE,34,3.9530400335356717,10,3.150713839678943
ECKE,33,3.9530400335356717,10,3.150713839678943
ECKE,33,3.9530400335356717,10,3.150713839678943
ECKE,34,3.9530400335356717,10,3.155264503013953
ECKE,34,3.9530400335356717,10,3.155264503013953
ECKE,34,3.9530400335356717,10,3.155264503013953
ECKE,34,3.9530400335356717,10,3.150713839678943
ECKE,34,3.9530400335356717,10,3.150713839678943
ECKE,34,3.9530400335356717,10,3.150713839678943
ECKE,34,3.9530400335356717,10,3.146146778986946
ECKE,34,3.9530400335356717,10,3.146146778986946
ECKE,34,3.9605614503824853,10,3.146146778986946
ECKE,34,3.9605614503824853,10,3.146146778986946
ECKE,34,3.9605614503824853,10,3.146146778986946
ECKE,34,3.9530400335356717,10,3.155264503013953
ECKE,34,3.9530400335356717,10,3.155264503013953
ECKE,34,3.9530400335356717,10,3.155264503013953
ECKE,34,3.9530400335356717,10,3.146146778986946
ECKE,34,3.9530400335356717,10,3.146146778986946
ECKE,34,3.9530400335356717,10,3.146146778986946
ECKE,33,3.918567680000052,10,3.146146778986946
ECKE,33,3.918567680000052,10,3.146146778986946
ECKE,33,3.9260466489589447,10,3.155264503013953
ECKE,33,3.9260466489589447,10,3.155264503013953
ECKE,33,3.9260466489589447,10,3.155264503013953
ECKE,34,3.9605614503824853,10,3.150713839678943
ECKE,34,3.9605614503824853,10,3.150713839678943
ECKE,34,3.9605614503824853,10,3.150713839678943
ECKE,34,3.9530400335356717,10,3.1369630841452647
ECKE,34,3.9530400335356717,10,3.1369630841452647
ECKE,34,3.9530400335356717,10,3.1369630841452647
ECKE,34,3.9530400335356717,10,3.141563225629028
ECKE,34,3.9530400335356717,10,3.141563225629028
ECKE,34,3.9530400335356717,10,3.150713839678943
ECKE,34,3.9530400335356717,10,3.150713839678943
ECKE,34,3.9530400335356717,10,3.150713839678943
ECKE,34,3.9605614503824853,10,3.150713839678943
ECKE,34,3.9605614503824853,10,3.150713839678943
ECKE,34,3.9605614503824853,10,3.150713839678943
ECKE,34,3.9530400335356717,10,3.141563225629028
ECKE,34,3.9530400335356717,10,3.141563225629028
ECKE,34,3.9530400335356717,10,3.141563225629028
ECKE,34,3.9530400335356717,10,3.150713839678943
ECKE,34,3.9530400335356717,10,3.150713839678943
ECKE,34,3.9530400335356717,10,3.155264503013953
ECKE,34,3.9530400335356717,10,3.155264503013953
ECKE,34,3.9530400335356717,10,3.155264503013953
ECKE,33,3.9530400335356717,10,3.155264503013953
ECKE,33,3.9530400335356717,10,3.155264503013953
